time_ms, meas_time_ms, frame_id, lin_x_m, lin_y_m, lin_z_m, ang_h_rad, ang_p_rad, ang_s_rad, disc_index, player
3463.26162400, 3400.08438400, 1776, -0.470, -0.168, 0.714, 0.45509, -0.09416, 1.80236, 6, 1, 0
3463.26162400, 3403.91248800, 1778, 0.140, -0.289, 1.015, 0.54393, 0.09763, 1.65445, 6, 1, 0
3463.26162400, 3405.82770400, 1779, -0.247, -0.211, 0.823, 0.40352, 0.04070, 1.79836, 6, 1, 0
3463.26162400, 3407.74160000, 1780, -0.184, -0.224, 0.854, 0.44186, 0.03085, 1.71733, 6, 1, 0
3463.26162400, 3426.88670400, 1790, -0.654, -0.130, 0.614, 0.22143, -0.13324, 1.72516, 6, 1, 0
3463.26162400, 3430.71543200, 1792, -0.525, -0.155, 0.677, 0.25242, -0.06338, 1.66182, 6, 1, 0
3463.26162400, 3432.62964800, 1793, -0.386, -0.182, 0.746, 0.47405, -0.13107, 1.41062, 6, 1, 0
3463.26162400, 3434.54440800, 1794, -0.498, -0.160, 0.689, 0.27613, -0.06498, 1.60688, 6, 1, 0
3463.26162400, 3438.37354400, 1796, -0.348, -0.190, 0.763, 0.39703, -0.06307, 1.44299, 6, 1, 0
3463.26162400, 3440.28754400, 1797, -0.610, -0.138, 0.629, 0.17240, -0.07427, 1.64026, 6, 1, 0
3463.26162400, 3444.11619200, 1799, -0.449, -0.170, 0.710, 0.27948, -0.05113, 1.50400, 6, 1, 0
3463.26162400, 3446.03064800, 1800, -0.476, -0.164, 0.696, 0.38967, -0.13405, 1.35573, 6, 1, 0
3463.26162400, 3447.94556800, 1801, -0.511, -0.158, 0.678, 0.15734, -0.04105, 1.57755, 6, 1, 0
3463.26162400, 3449.85964800, 1802, -0.580, -0.143, 0.642, 0.36728, -0.19252, 1.33040, 6, 1, 0
3463.26162400, 3451.77468000, 1803, -0.626, -0.134, 0.618, 0.28319, -0.18684, 1.38717, 6, 1, 0
3463.26162400, 3453.68862400, 1804, -0.442, -0.171, 0.710, 0.36814, -0.10513, 1.30220, 6, 1, 0
3463.26162400, 3455.60368000, 1805, -0.321, -0.196, 0.771, 0.36789, -0.03949, 1.30307, 6, 1, 0
3463.26162400, 3457.51764800, 1806, -0.520, -0.155, 0.669, 0.34119, -0.14503, 1.28105, 6, 1, 0
3463.26162400, 3459.43238400, 1807, -0.433, -0.172, 0.712, 0.56347, -0.18723, 1.04036, 6, 1, 0
3463.26162400, 3461.34656800, 1808, -0.457, -0.168, 0.699, 0.42014, -0.13864, 1.16881, 6, 1, 0
3463.26162400, 3463.26162400, 1809, -0.291, -0.201, 0.783, 0.43143, -0.05197, 1.15041, 6, 1, 0
3465.26162400, 3465.17554400, 1810, -0.466, -0.166, 0.693, 0.38217, -0.12732, 1.17032, 6, 1, 1
3467.26162400, 3467.09064800, 1811, -0.462, -0.166, 0.694, 0.40269, -0.13370, 1.11992, 6, 1, 1
3469.26162400, 3469.00438400, 1812, -0.478, -0.163, 0.685, 0.45935, -0.16796, 1.03980, 6, 1, 1
3471.26162400, 3470.91873600, 1813, -0.363, -0.186, 0.743, 0.41727, -0.08001, 1.08330, 6, 1, 1
3473.26162400, 3472.83364800, 1814, -0.360, -0.187, 0.745, 0.33878, -0.05193, 1.15352, 6, 1, 1
3475.26162400, 3474.74843200, 1815, -0.337, -0.191, 0.755, 0.47081, -0.08523, 0.99481, 6, 1, 1
3477.26162400, 3476.66252000, 1816, -0.332, -0.193, 0.757, 0.42284, -0.06289, 1.02274, 6, 1, 1
3479.26162400, 3478.57695200, 1817, -0.430, -0.172, 0.706, 0.46817, -0.13679, 0.93814, 6, 1, 1
3481.26162400, 3480.49154400, 1818, -0.349, -0.189, 0.747, 0.44975, -0.07983, 0.95920, 6, 1, 1
3483.26162400, 3482.40570400, 1819, -0.260, -0.206, 0.792, 0.48236, -0.04185, 0.91990, 6, 1, 1
3485.26162400, 3484.32043200, 1820, -0.350, -0.189, 0.745, 0.39179, -0.05886, 0.98105, 6, 1, 1
3486.26162400, 3486.23460000, 1821, -0.442, -0.170, 0.696, 0.37199, -0.10905, 0.96785, 6, 1, 1
3488.26162400, 3488.14956800, 1822, -0.407, -0.176, 0.713, 0.46497, -0.12007, 0.85157, 6, 1, 1
3490.26162400, 3490.06362400, 1823, -0.400, -0.178, 0.716, 0.37891, -0.08616, 0.92774, 6, 1, 1
3492.26162400, 3491.97827200, 1824, -0.404, -0.177, 0.714, 0.38719, -0.09025, 0.89901, 6, 1, 1
3494.26162400, 3493.89243200, 1825, -0.538, -0.150, 0.643, 0.33669, -0.17402, 0.90398, 6, 1, 1
3498.26162400, 3497.72143200, 1827, -0.436, -0.170, 0.694, 0.36577, -0.10566, 0.85603, 6, 1, 1
3500.26162400, 3499.63646400, 1828, -0.305, -0.197, 0.761, 0.44295, -0.04352, 0.77805, 6, 1, 1
3502.26162400, 3501.55054400, 1829, -0.458, -0.166, 0.681, 0.35954, -0.11761, 0.81113, 6, 1, 1
3504.26162400, 3503.46524800, 1830, -0.460, -0.165, 0.679, 0.43638, -0.15398, 0.71506, 6, 1, 1
3506.26162400, 3505.37952000, 1831, -0.425, -0.172, 0.696, 0.38866, -0.10360, 0.75534, 6, 1, 1
3508.26162400, 3507.29440800, 1832, -0.462, -0.164, 0.676, 0.40932, -0.14197, 0.70086, 6, 1, 1
3515.26162400, 3514.95160000, 1836, -0.340, -0.188, 0.736, 0.38376, -0.03906, 0.67462, 6, 1, 1
3517.26162400, 3516.86638400, 1837, -0.384, -0.179, 0.712, 0.32621, -0.04771, 0.70014, 6, 1, 1
3519.26162400, 3518.78113600, 1838, -0.396, -0.177, 0.705, 0.36239, -0.06717, 0.64034, 6, 1, 1
3521.26162400, 3520.69530400, 1839, 0.035, -0.264, 0.931, 0.73367, -0.03835, 0.26127, 6, 1, 1
3523.26162400, 3522.60948800, 1840, 0.136, -0.285, 0.985, 0.66969, 0.07629, 0.32534, 6, 1, 1
3525.26162400, 3524.52446400, 1841, -0.306, -0.194, 0.749, 0.43473, -0.02934, 0.52262, 6, 1, 1
3527.26162400, 3526.43897600, 1842, -0.478, -0.158, 0.657, 0.39728, -0.14636, 0.50308, 6, 1, 1
3529.26162400, 3528.35327200, 1843, -0.376, -0.179, 0.711, 0.38419, -0.05691, 0.51929, 6, 1, 1
3531.26162400, 3530.26746400, 1844, -0.345, -0.186, 0.727, 0.34235, -0.02012, 0.55010, 6, 1, 1
3532.26162400, 3532.18238400, 1845, -0.391, -0.176, 0.701, 0.34660, -0.05149, 0.50844, 6, 1, 1
3534.26162400, 3534.09646400, 1846, -0.456, -0.162, 0.665, 0.37962, -0.11533, 0.44093, 6, 1, 1
3536.26162400, 3536.01056800, 1847, -0.493, -0.154, 0.644, 0.42955, -0.18848, 0.34585, 6, 1, 1
3538.26162400, 3537.92524800, 1848, -0.420, -0.169, 0.682, 0.46016, -0.14528, 0.31295, 6, 1, 1
3542.26162400, 3541.75468000, 1850, 0.076, -0.270, 0.944, 0.93888, -0.24473, -0.26444, 6, 1, 1
3544.26162400, 3543.66821600, 1851, -0.006, -0.253, 0.900, 1.01977, -0.40049, -0.48061, 6, 1, 1
3546.26162400, 3545.58362400, 1852, -0.027, -0.248, 0.887, 1.01604, -0.39817, -0.50359, 6, 1, 1
3548.26162400, 3547.49760000, 1853, 0.407, -0.339, 1.123, 0.74170, 0.08688, -0.04043, 6, 1, 1
3550.26162400, 3549.41254400, 1854, -0.364, -0.179, 0.706, 0.47587, -0.11292, 0.18199, 6, 1, 1
3555.26162400, 3555.15592000, 1857, -0.371, -0.177, 0.699, 0.28997, -0.01335, 0.33582, 6, 1, 1
3557.26162400, 3557.06964800, 1858, -0.380, -0.175, 0.693, 0.29352, -0.01989, 0.30212, 6, 1, 1
3559.26162400, 3558.98460000, 1859, -0.409, -0.168, 0.677, 0.37937, -0.07848, 0.18242, 6, 1, 1
3561.26162400, 3560.89860000, 1860, -0.451, -0.159, 0.652, 0.52312, -0.21008, -0.02902, 6, 1, 1
3565.26162400, 3564.72748800, 1862, 0.390, -0.335, 1.109, 0.55131, 0.20187, 0.01401, 6, 1, 1
3571.26162400, 3570.47160000, 1865, -0.330, -0.182, 0.712, 0.52422, -0.11228, -0.11260, 6, 1, 1
3575.26162400, 3574.30046400, 1867, -0.401, -0.169, 0.671, -0.26951, -0.05262, 0.51226, 6, 1, 1
3578.26162400, 3578.12932800, 1869, -0.481, -0.149, 0.624, 0.37604, -0.11950, -0.05524, 6, 1, 1
3580.26162400, 3580.04340800, 1870, -0.332, -0.180, 0.706, 0.44150, -0.05572, -0.11856, 6, 1, 1
3582.26162400, 3581.95748800, 1871, -0.392, -0.167, 0.671, 0.36840, -0.05196, -0.06302, 6, 1, 1
3584.26162400, 3583.87256800, 1872, -0.491, -0.146, 0.615, 0.39269, -0.13380, -0.14418, 6, 1, 1
3586.26162400, 3585.78638400, 1873, -0.504, -0.143, 0.607, 0.24369, -0.08216, 0.00641, 6, 1, 1
3588.26162400, 3587.70164800, 1874, -0.326, -0.180, 0.704, 0.53109, -0.09416, -0.31500, 6, 1, 1
3590.26162400, 3589.61562400, 1875, -0.310, -0.183, 0.712, 0.49517, -0.06682, -0.29189, 6, 1, 1
3592.26162400, 3591.53000000, 1876, -0.346, -0.175, 0.691, 0.47963, -0.07910, -0.30170, 6, 1, 1
3594.26162400, 3593.44446400, 1877, -0.629, -0.115, 0.531, 0.41524, -0.27562, -0.32167, 6, 1, 1
3596.26162400, 3595.35952000, 1878, -0.457, -0.151, 0.626, 0.45875, -0.13486, -0.35125, 6, 1, 1
3598.26162400, 3597.27364800, 1879, -0.394, -0.164, 0.660, 0.43854, -0.08225, -0.33494, 6, 1, 1
3599.26162400, 3599.18762400, 1880, -0.353, -0.172, 0.682, 0.49141, -0.08099, -0.40987, 6, 1, 1
3601.26162400, 3601.10254400, 1881, -0.280, -0.187, 0.722, 0.48945, -0.03433, -0.41019, 6, 1, 1
3603.26162400, 3603.01748800, 1882, -0.356, -0.171, 0.678, 0.50891, -0.08781, -0.47178, 6, 1, 1
3605.26162400, 3604.93138400, 1883, -0.356, -0.170, 0.676, 0.53703, -0.09988, -0.53035, 6, 1, 1
3607.26162400, 3606.84635200, 1884, -0.209, -0.202, 0.758, 0.47254, 0.00881, -0.44757, 6, 1, 1
3609.26162400, 3608.76060000, 1885, -0.253, -0.192, 0.733, 0.41203, 0.01377, -0.40986, 6, 1, 1
3611.26162400, 3610.67443200, 1886, -0.392, -0.162, 0.652, 0.38917, -0.05822, -0.43675, 6, 1, 1
3613.26162400, 3612.58962400, 1887, -0.297, -0.182, 0.705, 0.50118, -0.04276, -0.56821, 6, 1, 1
3615.26162400, 3614.50378400, 1888, -0.337, -0.172, 0.681, 0.46115, -0.05307, -0.54493, 6, 1, 1
3617.26162400, 3616.41852000, 1889, -0.212, -0.199, 0.751, 0.44776, 0.02216, -0.53328, 6, 1, 1
3619.26162400, 3618.33248800, 1890, -0.461, -0.145, 0.607, 0.41653, -0.12352, -0.57269, 6, 1, 1
3622.26162400, 3622.16168000, 1892, -0.352, -0.168, 0.667, 0.43909, -0.05234, -0.61033, 6, 1, 1
3624.26162400, 3624.07568000, 1893, -0.410, -0.155, 0.632, 0.40922, -0.08274, -0.61564, 6, 1, 1
3626.26162400, 3625.99052000, 1894, -0.343, -0.169, 0.670, 0.43860, -0.04648, -0.65677, 6, 1, 1
3628.26162400, 3627.90468000, 1895, -0.430, -0.149, 0.618, 0.39123, -0.08990, -0.64438, 6, 1, 1
3630.26162400, 3629.81954400, 1896, -0.309, -0.176, 0.687, 0.33736, 0.01372, -0.58473, 6, 1, 1
3632.26162400, 3631.73370400, 1897, -0.286, -0.180, 0.699, 0.39332, 0.00468, -0.65731, 6, 1, 1
3638.26162400, 3637.47768000, 1900, -0.333, -0.168, 0.667, 0.46791, -0.05622, -0.82679, 6, 1, 1
3640.26162400, 3639.39156800, 1901, -0.215, -0.194, 0.735, 0.48543, 0.01873, -0.84276, 6, 1, 1
3642.26162400, 3641.30648800, 1902, -0.199, -0.197, 0.743, 0.46719, 0.03468, -0.84519, 6, 1, 1
3643.26162400, 3643.22052000, 1903, -0.227, -0.191, 0.725, 0.39106, 0.04534, -0.78534, 6, 1, 1
3647.26162400, 3647.04948800, 1905, -0.240, -0.187, 0.715, 0.42628, 0.02351, -0.86731, 6, 1, 1
3649.26162400, 3648.96460000, 1906, -0.328, -0.167, 0.662, 0.42817, -0.04158, -0.91567, 6, 1, 1
3651.26162400, 3650.87846400, 1907, -0.409, -0.148, 0.613, 0.33868, -0.06297, -0.85983, 6, 1, 1
3653.26162400, 3652.79256800, 1908, -0.287, -0.175, 0.684, 0.39097, 0.00595, -0.90642, 6, 1, 1
3657.26162400, 3656.62154400, 1910, -0.279, -0.176, 0.686, 0.37927, 0.01591, -0.94158, 6, 1, 1
3659.26162400, 3658.53686400, 1911, -0.252, -0.182, 0.701, 0.43855, 0.00572, -1.02137, 6, 1, 1
3661.26162400, 3660.45052000, 1912, -0.201, -0.192, 0.730, 0.46502, 0.02758, -1.06055, 6, 1, 1
3663.26162400, 3662.36556800, 1913, -0.236, -0.184, 0.707, 0.46154, 0.00308, -1.08357, 6, 1, 1
3665.26162400, 3664.27968000, 1914, -0.322, -0.164, 0.655, 0.38876, -0.02477, -1.04158, 6, 1, 1
3666.26162400, 3666.19460000, 1915, -0.286, -0.172, 0.675, 0.36977, 0.01089, -1.03626, 6, 1, 1
3668.26162400, 3668.10862400, 1916, -0.264, -0.177, 0.687, 0.32888, 0.04063, -1.00677, 6, 1, 1
3670.26162400, 3670.02346400, 1917, -0.282, -0.172, 0.675, 0.28936, 0.04097, -1.00111, 6, 1, 1
3672.26162400, 3671.93762400, 1918, -0.362, -0.153, 0.626, 0.29941, -0.02186, -1.04808, 6, 1, 1
3674.26162400, 3673.85240800, 1919, -0.321, -0.162, 0.649, 0.33052, -0.00434, -1.09378, 6, 1, 1
3676.26162400, 3675.76654400, 1920, -0.374, -0.149, 0.616, 0.28687, -0.02762, -1.08109, 6, 1, 1
3678.26162400, 3677.68119200, 1921, -0.363, -0.151, 0.621, 0.37640, -0.05878, -1.19519, 6, 1, 1
3680.26162400, 3679.59532800, 1922, -0.341, -0.155, 0.632, 0.33771, -0.02264, -1.17061, 6, 1, 1
3682.26162400, 3681.50970400, 1923, -0.382, -0.145, 0.606, 0.41255, -0.10369, -1.28870, 6, 1, 1
3684.26162400, 3683.42448800, 1924, -0.316, -0.160, 0.645, 0.39948, -0.03750, -1.27102, 6, 1, 1
3686.26162400, 3685.33838400, 1925, -0.312, -0.160, 0.646, 0.28794, 0.01762, -1.16998, 6, 1, 1
3687.26162400, 3687.25348800, 1926, -0.340, -0.153, 0.628, 0.26327, 0.00469, -1.17717, 6, 1, 1
3689.26162400, 3689.16781600, 1927, -0.207, -0.184, 0.708, 0.27773, 0.09408, -1.18229, 6, 1, 1
3691.26162400, 3691.08238400, 1928, -0.240, -0.175, 0.687, 0.27123, 0.07590, -1.20405, 6, 1, 1
3693.26162400, 3692.99624800, 1929, -0.275, -0.167, 0.664, 0.22852, 0.05744, -1.18710, 6, 1, 1
3695.26162400, 3694.91070400, 1930, -0.341, -0.150, 0.622, 0.37933, -0.05494, -1.38480, 6, 1, 1
3701.26162400, 3700.65421600, 1933, -0.332, -0.150, 0.623, 0.27371, 0.00885, -1.33183, 6, 1, 1
3703.26162400, 3702.56952000, 1934, -0.352, -0.145, 0.610, 0.30833, -0.02177, -1.39367, 6, 1, 1
3705.26162400, 3704.48360000, 1935, -0.254, -0.166, 0.669, 0.44660, -0.03225, -1.54662, 6, 1, 1
3707.26162400, 3706.39764800, 1936, -0.124, -0.196, 0.748, 0.56596, -0.03641, -1.68529, 6, 1, 1
3709.26162400, 3708.31262400, 1937, -0.286, -0.158, 0.647, 0.32204, 0.02203, -1.44895, 6, 1, 1
3710.26162400, 3710.22684000, 1938, -0.354, -0.141, 0.603, 0.36609, -0.05763, -1.54071, 6, 1, 1
3712.26162400, 3712.14162400, 1939, -0.342, -0.143, 0.609, 0.23216, 0.01479, -1.42093, 6, 1, 1
3714.26162400, 3714.05556800, 1940, -0.342, -0.142, 0.608, 0.31821, -0.02329, -1.53104, 6, 1, 1
3716.26162400, 3715.97040800, 1941, -0.275, -0.158, 0.648, 0.28080, 0.04531, -1.49174, 6, 1, 1
3718.26162400, 3717.88448800, 1942, -0.322, -0.145, 0.617, 0.35744, -0.02832, -1.59875, 6, 1, 1
3720.26162400, 3719.79943200, 1943, -0.255, -0.160, 0.658, 0.40025, -0.00164, -1.65286, 6, 1, 1
3722.26162400, 3721.71360000, 1944, -0.221, -0.168, 0.678, 0.41297, 0.01207, -1.68644, 6, 1, 1
3724.26162400, 3723.62835200, 1945, -0.051, -0.207, 0.783, 0.59729, 0.00138, -1.89144, 6, 1, 1
3726.26162400, 3725.54216800, 1946, -0.197, -0.171, 0.690, 0.44048, 0.01243, -1.74601, 6, 1, 1
3728.26162400, 3727.45662400, 1947, -0.227, -0.163, 0.670, 0.41693, 0.00706, -1.74976, 6, 1, 1
3730.26162400, 3729.37156800, 1948, -0.351, -0.133, 0.591, 0.31575, -0.02467, -1.69064, 6, 1, 1
3732.26162400, 3731.28564800, 1949, -0.193, -0.170, 0.689, 0.44098, 0.01803, -1.81507, 6, 1, 1
3733.26162400, 3733.20064800, 1950, -0.210, -0.165, 0.677, 0.43960, 0.00944, -1.83217, 6, 1, 1
3735.26162400, 3735.11538400, 1951, -0.279, -0.147, 0.632, 0.36332, 0.00832, -1.78603, 6, 1, 1
3737.26162400, 3737.02962400, 1952, -0.248, -0.154, 0.650, 0.39205, 0.01469, -1.82601, 6, 1, 1
3739.26162400, 3738.94343200, 1953, -0.095, -0.191, 0.746, 0.42710, 0.08243, -1.85275, 6, 1, 1
3741.26162400, 3740.85840800, 1954, -0.138, -0.180, 0.718, 0.39418, 0.07897, -1.84638, 6, 1, 1
3743.26162400, 3742.77252000, 1955, -0.118, -0.184, 0.729, 0.44081, 0.06766, -1.91293, 6, 1, 1
3745.26162400, 3744.68764800, 1956, -0.218, -0.158, 0.664, 0.41679, 0.02500, -1.93091, 6, 1, 1
